Metric,Region,Test,Statistic,p-value,Normally Distributed,Mean,Std Dev
Degree Centrality,GBR,Kolmogorov-Smirnov,0.2383916784143523,3.7447666532722255e-170,No,0.009670471670309017,0.013537269961361734
Degree Centrality,IO,Shapiro-Wilk,0.7342889119942109,1.0862089499813952e-16,No,1.713283674736189,0.25098027763316016
Degree Centrality,Caribbean,Shapiro-Wilk,0.956278699412516,7.031861739104237e-10,No,0.25912854469877766,0.1532862243085933
Closeness Centrality,GBR,Kolmogorov-Smirnov,0.14044783604845001,7.4589487010853645e-59,No,0.0332972958923759,0.022788431566785783
Closeness Centrality,IO,Shapiro-Wilk,0.7388146588863473,1.5059940570070965e-16,No,0.8931390428921001,0.1325185124199624
Closeness Centrality,Caribbean,Shapiro-Wilk,0.9709707084251946,1.9094686983760912e-07,No,0.38153900843058847,0.08821028025493675
Betweenness Centrality,GBR,Kolmogorov-Smirnov,0.4231127399732466,0.0,No,0.0004671003772926335,0.0024085203025642644
Betweenness Centrality,IO,Shapiro-Wilk,0.9417812582711775,1.080889410980375e-06,No,0.0008524609601127083,0.0005641236340824415
Betweenness Centrality,Caribbean,Shapiro-Wilk,0.5171156196402715,2.3362187887291536e-32,No,0.003418462976140871,0.006872197300384188
Eigenvector Centrality,GBR,Kolmogorov-Smirnov,0.462443523083426,0.0,No,0.004020869462479716,0.016692488226458527
Eigenvector Centrality,IO,Shapiro-Wilk,0.6676655951205381,1.3405403400208831e-18,No,0.07194355264804494,0.019539752036651793
Eigenvector Centrality,Caribbean,Shapiro-Wilk,0.8394223244963963,2.6362325932549508e-20,No,0.0329851820323403,0.035764056830849475
Harmonic Centrality,GBR,Kolmogorov-Smirnov,0.12182784481593478,2.4087894058925735e-44,No,142.11500979628605,99.70943835326939
Harmonic Centrality,IO,Shapiro-Wilk,0.6879227409718984,4.733172469680057e-18,No,165.5861111111111,19.22789164714345
Harmonic Centrality,Caribbean,Shapiro-Wilk,0.9766457819998741,2.5719517180740803e-06,No,183.93924349881829,42.628843478158494
Clustering Coefficient,GBR,Kolmogorov-Smirnov,0.06098192903617422,2.066578198939115e-11,No,0.436089202482011,0.2717449362088711
Clustering Coefficient,IO,Shapiro-Wilk,0.8253597951178911,2.0578745508770249e-13,No,0.9835958254802032,0.006143942542541795
Clustering Coefficient,Caribbean,Shapiro-Wilk,0.9472570109215661,3.955621800678878e-11,No,0.7257209422758223,0.18125829998765833
