,Region,Metric,Standardised Value
0,GBR,Degree Centrality,-0.3308121519557351
1,GBR,Degree Centrality,-0.3308121519557351
2,GBR,Degree Centrality,-0.3280802793146535
3,GBR,Degree Centrality,-0.3280802793146535
4,GBR,Degree Centrality,-0.32899090352834737
5,GBR,Degree Centrality,-0.32899090352834737
6,GBR,Degree Centrality,-0.3271696551009596
7,GBR,Degree Centrality,-0.3280802793146535
8,GBR,Degree Centrality,-0.32534840667357184
9,GBR,Degree Centrality,-0.32625903088726577
10,GBR,Degree Centrality,-0.32534840667357184
11,GBR,Degree Centrality,-0.32899090352834737
12,GBR,Degree Centrality,-0.324437782459878
13,GBR,Degree Centrality,-0.3271696551009596
14,GBR,Degree Centrality,-0.32352715824618417
15,GBR,Degree Centrality,-0.32625903088726577
16,GBR,Degree Centrality,-0.32625903088726577
17,GBR,Degree Centrality,-0.3280802793146535
18,GBR,Degree Centrality,-0.3280802793146535
19,GBR,Degree Centrality,-0.3271696551009596
20,GBR,Degree Centrality,-0.3271696551009596
21,GBR,Degree Centrality,-0.3271696551009596
22,GBR,Degree Centrality,-0.32079528560510245
23,GBR,Degree Centrality,-0.3299015277420413
24,GBR,Degree Centrality,-0.3280802793146535
25,GBR,Degree Centrality,-0.3280802793146535
26,GBR,Degree Centrality,-0.32625903088726577
27,GBR,Degree Centrality,-0.32625903088726577
28,GBR,Degree Centrality,-0.32352715824618417
29,GBR,Degree Centrality,-0.32534840667357184
30,GBR,Degree Centrality,-0.32534840667357184
31,GBR,Degree Centrality,-0.3217059098187964
32,GBR,Degree Centrality,-0.324437782459878
33,GBR,Degree Centrality,-0.32625903088726577
34,GBR,Degree Centrality,-0.32352715824618417
35,GBR,Degree Centrality,-0.3271696551009596
36,GBR,Degree Centrality,-0.32079528560510245
37,GBR,Degree Centrality,-0.32625903088726577
38,GBR,Degree Centrality,-0.324437782459878
39,GBR,Degree Centrality,-0.3271696551009596
40,GBR,Degree Centrality,-0.32534840667357184
41,GBR,Degree Centrality,-0.32625903088726577
42,GBR,Degree Centrality,-0.32534840667357184
43,GBR,Degree Centrality,-0.3271696551009596
44,GBR,Degree Centrality,-0.32899090352834737
45,GBR,Degree Centrality,-0.3271696551009596
46,GBR,Degree Centrality,-0.32534840667357184
47,GBR,Degree Centrality,-0.32625903088726577
48,GBR,Degree Centrality,-0.3271696551009596
49,GBR,Degree Centrality,-0.3217059098187964
50,GBR,Degree Centrality,-0.324437782459878
51,GBR,Degree Centrality,-0.3271696551009596
52,GBR,Degree Centrality,-0.32352715824618417
53,GBR,Degree Centrality,-0.32352715824618417
54,GBR,Degree Centrality,-0.31988466139140864
55,GBR,Degree Centrality,-0.32899090352834737
56,GBR,Degree Centrality,-0.32625903088726577
57,GBR,Degree Centrality,-0.32352715824618417
58,GBR,Degree Centrality,-0.3217059098187964
59,GBR,Degree Centrality,-0.32899090352834737
60,GBR,Degree Centrality,-0.3271696551009596
61,GBR,Degree Centrality,-0.32625903088726577
62,GBR,Degree Centrality,-0.32899090352834737
63,GBR,Degree Centrality,-0.3271696551009596
64,GBR,Degree Centrality,-0.3217059098187964
65,GBR,Degree Centrality,-0.3271696551009596
66,GBR,Degree Centrality,-0.324437782459878
67,GBR,Degree Centrality,-0.32352715824618417
68,GBR,Degree Centrality,-0.32534840667357184
69,GBR,Degree Centrality,-0.32261653403249024
70,GBR,Degree Centrality,-0.32352715824618417
71,GBR,Degree Centrality,-0.3280802793146535
72,GBR,Degree Centrality,-0.32261653403249024
73,GBR,Degree Centrality,-0.3280802793146535
74,GBR,Degree Centrality,-0.32261653403249024
75,GBR,Degree Centrality,-0.31988466139140864
76,GBR,Degree Centrality,-0.32534840667357184
77,GBR,Degree Centrality,-0.32899090352834737
78,GBR,Degree Centrality,-0.32261653403249024
79,GBR,Degree Centrality,-0.32079528560510245
80,GBR,Degree Centrality,-0.3271696551009596
81,GBR,Degree Centrality,-0.32352715824618417
82,GBR,Degree Centrality,-0.32534840667357184
83,GBR,Degree Centrality,-0.32625903088726577
84,GBR,Degree Centrality,-0.32352715824618417
85,GBR,Degree Centrality,-0.32261653403249024
86,GBR,Degree Centrality,-0.3271696551009596
87,GBR,Degree Centrality,-0.32534840667357184
88,GBR,Degree Centrality,-0.32352715824618417
89,GBR,Degree Centrality,-0.3280802793146535
90,GBR,Degree Centrality,-0.3308121519557351
91,GBR,Degree Centrality,-0.3189740371777147
92,GBR,Degree Centrality,-0.32079528560510245
93,GBR,Degree Centrality,-0.32899090352834737
94,GBR,Degree Centrality,-0.32899090352834737
95,GBR,Degree Centrality,-0.3217059098187964
