Metric,Test,Statistic,p-value,Significant difference,GBR_0.5 Mean,GBR_0.5 Median,GBR_2 Mean,GBR_2 Median,GBR_9 Mean,GBR_9 Median,Pairwise Comparison
Degree Centrality,Kruskal-Wallis,92.19010639432618,9.575748991970366e-21,Yes,0.009670471670309017,0.0047169811320754715,0.008324538943837109,0.004271982912068352,0.007820482229931048,0.00699912510936133,
Degree Centrality,Dunn's test,,0.00023298019705768225,Yes,,,,,,,GBR_0.5 vs GBR_2
Degree Centrality,Dunn's test,,2.4492277598321462e-12,Yes,,,,,,,GBR_0.5 vs GBR_9
Degree Centrality,Dunn's test,,2.389654049333221e-21,Yes,,,,,,,GBR_2 vs GBR_9
Closeness Centrality,Kruskal-Wallis,194.52754177113172,5.739591916846582e-43,Yes,0.0332972958923759,0.04136378940136395,0.030713182532944538,0.03785954457110242,0.02401624791784779,0.02688402748196137,
Closeness Centrality,Dunn's test,,5.180994623615443e-07,Yes,,,,,,,GBR_0.5 vs GBR_2
Closeness Centrality,Dunn's test,,1.0338693695200569e-43,Yes,,,,,,,GBR_0.5 vs GBR_9
Closeness Centrality,Dunn's test,,5.471045164492749e-23,Yes,,,,,,,GBR_2 vs GBR_9
Betweenness Centrality,Kruskal-Wallis,72.1895032798163,2.1098352165079997e-16,Yes,0.0004671003772926335,2.5596840801457643e-05,0.000595417147181367,3.719337615985949e-05,0.0015143000951501036,0.00010834427801553084,
Betweenness Centrality,Dunn's test,,0.0006993093590981418,Yes,,,,,,,GBR_0.5 vs GBR_2
Betweenness Centrality,Dunn's test,,6.864321125761612e-17,Yes,,,,,,,GBR_0.5 vs GBR_9
Betweenness Centrality,Dunn's test,,1.3315333933980523e-08,Yes,,,,,,,GBR_2 vs GBR_9
Eigenvector Centrality,Kruskal-Wallis,47.854390980003316,4.060233697561636e-11,Yes,0.004020869462479716,1.6649238565875918e-12,0.004314270046514414,4.27986760680431e-11,0.004948634858069501,1.330641026439267e-06,
Eigenvector Centrality,Dunn's test,,1.3857853392238632e-11,Yes,,,,,,,GBR_0.5 vs GBR_2
Eigenvector Centrality,Dunn's test,,0.016071438024874114,Yes,,,,,,,GBR_0.5 vs GBR_9
Eigenvector Centrality,Dunn's test,,0.016071438024874114,Yes,,,,,,,GBR_2 vs GBR_9
Harmonic Centrality,Kruskal-Wallis,986.4688660162669,6.180270159146351e-215,Yes,142.11500979628605,168.02318514818447,109.8934717721348,130.61300505050536,37.9972652613154,40.94157647907653,
Harmonic Centrality,Dunn's test,,1.5511775563612434e-41,Yes,,,,,,,GBR_0.5 vs GBR_2
Harmonic Centrality,Dunn's test,,6.179752227739267e-214,Yes,,,,,,,GBR_0.5 vs GBR_9
Harmonic Centrality,Dunn's test,,2.0742581208298519e-94,Yes,,,,,,,GBR_2 vs GBR_9
Clustering Coefficient,Kruskal-Wallis,65.7571761463383,5.260301380291195e-15,Yes,0.436089202482011,0.46244167563964517,0.40139818506961855,0.4,0.3756752725059471,0.34545454545454546,
Clustering Coefficient,Dunn's test,,8.990514382395512e-08,Yes,,,,,,,GBR_0.5 vs GBR_2
Clustering Coefficient,Dunn's test,,2.1845958454405895e-13,Yes,,,,,,,GBR_0.5 vs GBR_9
Clustering Coefficient,Dunn's test,,0.0009133806797228043,Yes,,,,,,,GBR_2 vs GBR_9
