,Region,Metric,Standardised Value
0,GBR_0.5,Degree Centrality,-0.7378741155851244
1,GBR_0.5,Degree Centrality,-0.7378741155851244
2,GBR_0.5,Degree Centrality,-0.6888117213357893
3,GBR_0.5,Degree Centrality,-0.6642805242111217
4,GBR_0.5,Degree Centrality,-0.6642805242111217
5,GBR_0.5,Degree Centrality,-0.6888117213357893
6,GBR_0.5,Degree Centrality,-0.6888117213357893
7,GBR_0.5,Degree Centrality,-0.6397493270864542
8,GBR_0.5,Degree Centrality,-0.6397493270864542
9,GBR_0.5,Degree Centrality,-0.6397493270864542
10,GBR_0.5,Degree Centrality,-0.5661557357124515
11,GBR_0.5,Degree Centrality,-0.6888117213357893
12,GBR_0.5,Degree Centrality,-0.6152181299617866
13,GBR_0.5,Degree Centrality,-0.4925621443384488
14,GBR_0.5,Degree Centrality,-0.5416245385877839
15,GBR_0.5,Degree Centrality,-0.6642805242111217
16,GBR_0.5,Degree Centrality,-0.6397493270864542
17,GBR_0.5,Degree Centrality,-0.590686932837119
18,GBR_0.5,Degree Centrality,-0.5170933414631164
19,GBR_0.5,Degree Centrality,-0.6152181299617866
20,GBR_0.5,Degree Centrality,-0.4925621443384488
21,GBR_0.5,Degree Centrality,-0.6397493270864542
22,GBR_0.5,Degree Centrality,-0.6642805242111217
23,GBR_0.5,Degree Centrality,-0.6397493270864542
24,GBR_0.5,Degree Centrality,-0.6397493270864542
25,GBR_0.5,Degree Centrality,-0.4189685529644461
26,GBR_0.5,Degree Centrality,-0.6152181299617866
27,GBR_0.5,Degree Centrality,-0.7133429184604568
28,GBR_0.5,Degree Centrality,-0.6152181299617866
29,GBR_0.5,Degree Centrality,-0.590686932837119
30,GBR_0.5,Degree Centrality,-0.5661557357124515
31,GBR_0.5,Degree Centrality,-0.6642805242111217
32,GBR_0.5,Degree Centrality,-0.6642805242111217
33,GBR_0.5,Degree Centrality,-0.6397493270864542
34,GBR_0.5,Degree Centrality,-0.46803094721378125
35,GBR_0.5,Degree Centrality,-0.5416245385877839
36,GBR_0.5,Degree Centrality,-0.5416245385877839
37,GBR_0.5,Degree Centrality,-0.590686932837119
38,GBR_0.5,Degree Centrality,-0.2963125673411083
39,GBR_0.5,Degree Centrality,-0.4189685529644461
40,GBR_0.5,Degree Centrality,-0.6152181299617866
41,GBR_0.5,Degree Centrality,-0.6152181299617866
42,GBR_0.5,Degree Centrality,-0.6152181299617866
43,GBR_0.5,Degree Centrality,-0.44349975008911363
44,GBR_0.5,Degree Centrality,-0.5416245385877839
45,GBR_0.5,Degree Centrality,-0.590686932837119
46,GBR_0.5,Degree Centrality,-0.6888117213357893
47,GBR_0.5,Degree Centrality,-0.5661557357124515
48,GBR_0.5,Degree Centrality,-0.590686932837119
49,GBR_0.5,Degree Centrality,-0.5416245385877839
50,GBR_0.5,Degree Centrality,-0.6397493270864542
51,GBR_0.5,Degree Centrality,-0.6152181299617866
52,GBR_0.5,Degree Centrality,-0.6397493270864542
53,GBR_0.5,Degree Centrality,-0.6152181299617866
54,GBR_0.5,Degree Centrality,-0.5661557357124515
55,GBR_0.5,Degree Centrality,-0.6152181299617866
56,GBR_0.5,Degree Centrality,-0.6397493270864542
57,GBR_0.5,Degree Centrality,-0.6397493270864542
58,GBR_0.5,Degree Centrality,-0.6397493270864542
59,GBR_0.5,Degree Centrality,-0.6642805242111217
60,GBR_0.5,Degree Centrality,-0.4925621443384488
61,GBR_0.5,Degree Centrality,-0.3944373558397785
62,GBR_0.5,Degree Centrality,-0.6152181299617866
63,GBR_0.5,Degree Centrality,-0.6152181299617866
64,GBR_0.5,Degree Centrality,-0.5170933414631164
65,GBR_0.5,Degree Centrality,-0.3944373558397785
66,GBR_0.5,Degree Centrality,-0.6397493270864542
67,GBR_0.5,Degree Centrality,-0.6397493270864542
68,GBR_0.5,Degree Centrality,-0.2717813702164407
69,GBR_0.5,Degree Centrality,-0.4925621443384488
70,GBR_0.5,Degree Centrality,-0.590686932837119
71,GBR_0.5,Degree Centrality,-0.5416245385877839
72,GBR_0.5,Degree Centrality,-0.6397493270864542
73,GBR_0.5,Degree Centrality,-0.5416245385877839
74,GBR_0.5,Degree Centrality,-0.36990615871511096
75,GBR_0.5,Degree Centrality,-0.6152181299617866
76,GBR_0.5,Degree Centrality,-0.6642805242111217
77,GBR_0.5,Degree Centrality,-0.6642805242111217
78,GBR_0.5,Degree Centrality,-0.6888117213357893
