Metric,Region,Test,Statistic,p-value,Normally Distributed,Mean,Std Dev
Degree Centrality,GBR_0.5,Kolmogorov-Smirnov,0.2383916784143523,3.7447666532722255e-170,No,0.009670471670309017,0.013537269961361734
Degree Centrality,GBR_2,Kolmogorov-Smirnov,0.2538859695475929,3.7945204866475104e-160,No,0.008324538943837109,0.011951638967421515
Degree Centrality,GBR_9,Kolmogorov-Smirnov,0.1097116329939073,1.9005872279618386e-12,No,0.007820482229931048,0.005441504457851671
Closeness Centrality,GBR_0.5,Kolmogorov-Smirnov,0.14044783604845001,7.4589487010853645e-59,No,0.0332972958923759,0.022788431566785783
Closeness Centrality,GBR_2,Kolmogorov-Smirnov,0.14482669471858006,6.725642284511361e-52,No,0.030713182532944538,0.021523582873203367
Closeness Centrality,GBR_9,Kolmogorov-Smirnov,0.13539059572293366,9.456884575766185e-19,No,0.02401624791784779,0.018895599297185716
Betweenness Centrality,GBR_0.5,Kolmogorov-Smirnov,0.4231127399732466,0.0,No,0.0004671003772926335,0.0024085203025642644
Betweenness Centrality,GBR_2,Kolmogorov-Smirnov,0.4123370590130631,0.0,No,0.000595417147181367,0.002687661266989053
Betweenness Centrality,GBR_9,Kolmogorov-Smirnov,0.3781562857984728,1.6644890645091397e-147,No,0.0015143000951501036,0.004879697326256731
Eigenvector Centrality,GBR_0.5,Kolmogorov-Smirnov,0.462443523083426,0.0,No,0.004020869462479716,0.016692488226458527
Eigenvector Centrality,GBR_2,Kolmogorov-Smirnov,0.4743892033380614,0.0,No,0.004314270046514414,0.018367880220544714
Eigenvector Centrality,GBR_9,Kolmogorov-Smirnov,0.43262349938191946,4.022204687102335e-195,No,0.004948634858069501,0.029161279576284477
Harmonic Centrality,GBR_0.5,Kolmogorov-Smirnov,0.12182784481593478,2.4087894058925735e-44,No,142.11500979628605,99.70943835326939
Harmonic Centrality,GBR_2,Kolmogorov-Smirnov,0.14320955392194668,9.454954702988709e-51,No,109.8934717721348,78.86616631627169
Harmonic Centrality,GBR_9,Kolmogorov-Smirnov,0.13898692370156707,9.68395897896869e-20,No,37.9972652613154,30.902219032871546
Clustering Coefficient,GBR_0.5,Kolmogorov-Smirnov,0.06098192903617422,2.066578198939115e-11,No,0.436089202482011,0.2717449362088711
Clustering Coefficient,GBR_2,Kolmogorov-Smirnov,0.06730214007977968,1.643381446352818e-11,No,0.40139818506961855,0.26828031157871257
Clustering Coefficient,GBR_9,Kolmogorov-Smirnov,0.09068193765073397,1.2307781248108042e-08,No,0.3756752725059471,0.2603657901352283
