Name,Lat,Lon
Reef 001,32.16952509,-64.83095663
Reef 002,28.00484033,-94.29569795
Reef 003,27.8143213,-92.55296629
Reef 004,27.75074048,-93.57704572
Reef 005,27.68712252,-93.77467508
Reef 006,27.68712252,-93.07398916
Reef 007,27.08091026,-78.91654028
Reef 008,27.08091026,-78.32365219
Reef 009,27.01690575,-78.95247289
Reef 010,26.85673503,-78.19788805
Reef 011,26.76052355,-78.84467506
Reef 012,26.72843493,-77.73076411
Reef 013,26.53571336,-77.51516844
Reef 014,26.59998999,-80.03045123
Reef 015,26.43923087,-78.41348372
Reef 016,26.40705207,-77.01211188
Reef 017,26.18154951,-77.51516844
Reef 018,25.95560975,-77.53313474
Reef 019,25.8909756,-79.07823703
Reef 020,25.66447764,-79.09620334
Reef 021,25.91448303,-77.19504154
Reef 022,25.63208554,-77.92839347
Reef 023,25.50242932,-78.018225
Reef 024,26.18154951,-80.03045123
Reef 025,25.46999335,-78.09009022
Reef 026,25.40509518,-79.00637181
Reef 027,25.2751941,-77.91042716
Reef 028,25.14515382,-79.02433812
Reef 029,25.11262205,-78.44941633
Reef 030,25.21019133,-79.18603487
Reef 031,24.88465771,-78.80874245
Reef 032,24.8194475,-78.30568589
Reef 033,24.7215678,-78.73687722
Reef 034,24.98371131,-78.5687126
Reef 035,24.75420294,-77.4073706
Reef 036,25.08383674,-77.02593211
Reef 037,24.75420294,-79.15010226
Reef 038,24.88465771,-80.42570996
Reef 039,24.62361107,-77.17380863
Reef 040,24.75420294,-76.4371901
Reef 041,24.62361107,-78.56008878
Reef 042,24.59094174,-77.01211188
Reef 043,24.49288263,-82.4559025
Reef 044,24.49288263,-77.17380863
Reef 045,24.52557751,-82.83319492
Reef 046,24.42746737,-82.58166664
Reef 047,24.46017925,-82.11454269
Reef 048,24.46017925,-81.21622741
Reef 049,24.96371898,-76.36296864
Reef 050,24.50477266,-78.90020728
Reef 051,24.36201817,-78.48534895
Reef 052,24.29653509,-77.15584232
Reef 053,24.29653509,-82.65353186
Reef 054,24.29653509,-82.22234053
Reef 055,24.39474701,-81.52165461
Reef 056,24.23101821,-79.09620334
Reef 057,24.1654676,-78.25435359
Reef 058,24.68892411,-77.84475722
Reef 059,24.30157345,-76.97894332
Reef 060,24.1654676,-76.7605836
Reef 061,24.09988332,-79.16806856
Reef 062,24.09988332,-78.44941633
Reef 063,24.09988332,-76.86838143
Reef 064,24.09988332,-75.53887481
Reef 065,24.03426544,-78.77280984
Reef 066,24.00144392,-78.09009022
Reef 067,24.42746737,-75.64667265
Reef 068,23.90292916,-78.77280984
Reef 069,23.90292916,-78.55721417
Reef 070,23.93577578,-78.41348372
Reef 071,24.00144392,-77.11990971
Reef 072,24.23101821,-76.61031995
Reef 073,23.8372109,-78.73687722
Reef 074,23.80433927,-78.48534895
Reef 075,23.8372109,-78.05415761
Reef 076,23.80433927,-80.46164257
Reef 077,23.77145932,-79.95858601
Reef 078,23.77145932,-78.59314678
Reef 079,23.8372109,-78.26975328
Reef 080,23.77145932,-78.09009022
Reef 081,23.8700742,-76.83244882
Reef 082,23.90292916,-74.49682908
Reef 083,23.70567449,-78.59314678
Reef 084,23.70567449,-78.09009022
Reef 085,23.63985648,-78.30568589
Reef 086,23.63985648,-78.23382067
Reef 087,23.73857106,-77.94635977
Reef 088,23.67276963,-75.10768348
Reef 089,23.57400535,-79.02433812
Reef 090,23.67276963,-78.88060767
Reef 091,23.57400535,-80.42570996
Reef 092,23.50812118,-78.23382067
Reef 093,23.50812118,-76.16769551
