name,Lon,Lat
Harrington Shoal (10-331),142.71060181,-10.79659367
U/N Reef (10-332),142.57356262,-10.82426262
U/N Reef (10-333),142.57661438,-10.8354435
Four Fathom Patches (10-334),142.68708801,-10.81985474
Harrington Reef (10-335),142.72311401,-10.82125187
Wyborn Reef (10-336),142.76223755,-10.82104492
U/N Reef (10-337),142.92880249,-10.80788326
Womer Reef (10-338),142.98362732,-10.79982185
Brewis Reef (10-339),142.69335938,-10.88696003
Turtle Island Reef (10-340),142.69628906,-10.88979912
Shortland Reef (10-341),142.77270508,-10.90133476
U/N Reef (10-299),143.08961487,-10.77538872
Middle Brother Reef (10-323),142.68544006,-10.71178818
South Brother Reef (10-324),142.6918335,-10.71665955
North Ledge (10-325),142.73832703,-10.68028641
Meggi-Damun Reef (10-326),142.78610229,-10.68252754
Ulfa Reef (10-328),142.6144104,-10.75758648
Ariel Bank (10-329),142.62519836,-10.77074623
U/N Reef (10-401),143.80076599,-10.80318642
U/N Reef (10-402),144.0065918,-10.80548668
U/N Reef (10-403),143.99606323,-10.82373524
U/N Reef (10-404),143.82380676,-10.82510948
U/N Reef (10-405),143.75805664,-10.84616756
U/N Reef (10-406),144.01449585,-10.84487152
U/N Reef (10-407a),143.98451233,-10.86612701
Turtle Head Island Reef (No 1) (10-343a),142.70593262,-10.93688488
Turtle Head Island Reef (No 2) (10-343b),142.7061615,-10.94753647
Tern Reef (10-344),142.76638794,-10.99002266
U/N Reef (10-348),143.25215149,-10.68365002
U/N Reef (10-349),143.43374634,-10.69710159
U/N Reef (10-350),143.46632385,-10.69664955
U/N Reef (10-351),143.19032288,-10.73180485
U/N Reef (10-352),143.33677673,-10.73468304
U/N Reef (10-353),143.09373474,-10.75188351
U/N Reef (10-354),143.3717804,-10.75227928
U/N Reef (10-355),143.32429504,-10.75677586
U/N Reef (10-356),143.41204834,-10.77616978
U/N Reef (10-357),143.35340881,-10.80583096
U/N Reef (10-358),143.3356781,-10.83780289
U/N Reef (10-359),143.45957947,-10.94054508
U/N Reef (10-360),143.298172,-10.83911419
U/N Reef (10-361),143.40377808,-10.84895229
U/N Reef (10-362),143.23895264,-10.85297012
U/N Reef (10-363),143.24015808,-10.89503193
U/N Reef (10-364),143.21000671,-10.89760017
Linda Reef (10-365),143.17781067,-10.90662861
U/N Reef (10-366),143.2897644,-10.90393257
U/N Reef (10-367),143.38287354,-10.90547371
U/N Reef (10-368),143.31407166,-10.91513443
U/N Reef (10-369),143.2959137,-10.93176079
U/N Reef (10-370),143.21829224,-10.93246841
U/N Reef (10-371),143.24234009,-10.9469099
U/N Reef (10-372),143.15708923,-10.9502964
U/N Reef (10-373),143.13014221,-10.95202541
U/N Reef (10-374),143.35983276,-10.93915176
U/N Reef (10-375a),143.3997345,-10.96371174
U/N Reef (10-375b),143.4256134,-10.9675951
U/N Reef (10-376),143.1255188,-10.98665619
U/N Reef (10-378),143.51068115,-10.90591812
U/N Reef (10-381),143.9644928,-10.68788147
U/N Reef (10-382),143.78704834,-10.70289612
U/N Reef (10-384),143.96377563,-10.70974445
U/N Reef (10-385),143.95874023,-10.72497368
U/N Reef (10-386),143.97961426,-10.72316742
U/N Reef (10-387),143.52099609,-10.69328785
U/N Reef (10-389),143.96478271,-10.73436737
U/N Reef (10-390),143.9733429,-10.7404232
Triangle Reef (10-391),143.98234558,-10.75539112
U/N Reef (10-392),143.60650635,-10.74197769
U/N Reef (10-393),143.74429321,-10.74233627
U/N Reef (10-394),143.50572205,-10.76967049
U/N Reef (10-395),143.69085693,-10.78934574
U/N Reef (10-396),143.71661377,-10.77029133
U/N Reef (10-397),143.84376526,-10.76665306
U/N Reef (10-398),143.97547913,-10.77815247
U/N Reef (10-399),143.98529053,-10.78567314
U/N Reef (10-400),143.98979187,-10.79434872
U/N Reef (10-426),144.01452637,-10.95084667
U/N Reef (10-427),143.51144409,-10.94451904
U/N Reef (10-428a),143.99876404,-10.83556843
U/N Reef (10-428b),144.00891113,-10.83007717
U/N Reef (10-436),143.37953186,-10.84018993
U/N Reef (10-437),143.44622803,-10.89760876
U/N Reef (10-438),143.55375671,-10.93063068
U/N Reef (10-439),143.62937927,-10.97612762
U/N Reef (10-440),143.71253967,-10.94218445
U/N Reef (11-325),143.7671814,-11.01291656
U/N Reef (10-442),143.77836609,-10.98402596
U/N Reef (10-443),143.95599365,-10.74168205
U/N Reef (10-444),144.00192261,-10.93507957
U/N Reef (10-445),144.0340271,-10.91252613
U/N Reef (10-800),142.73902893,-10.81070328
U/N Reef (10-807),143.953125,-10.68521976
U/N Reef (10-407b),143.99212646,-10.86003113
U/N Reef (10-408),143.65881348,-10.85639668
U/N Reef (10-409),143.71118164,-10.85936832
U/N Reef (10-410),143.79341125,-10.86957836
U/N Reef (10-411),143.47001648,-10.80509758
U/N Reef (10-411b),143.58657837,-10.8515749
U/N Reef (10-412),144.01409912,-10.88740253
U/N Reef (10-413),143.55236816,-10.89570427
U/N Reef (10-414),144.01809692,-10.92669582
U/N Reef (10-415),143.57276917,-10.91156006
U/N Reef (10-416a),144.01524353,-10.96391392
U/N Reef (10-416b),144.03215027,-10.96593094
U/N Reef (10-417),143.46723938,-10.88192558
U/N Reef (10-418a),144.03520203,-10.9968214
U/N Reef (10-418b),144.0181427,-10.98606586
U/N Reef (10-419a),144.01290894,-11.00776577
U/N Reef (10-419b),144.01309204,-11.01794815
U/N Reef (10-420),143.99504089,-11.01778316
U/N Reef (10-421),143.36489868,-10.99041271
U/N Reef (10-422),143.29489136,-10.98697853
U/N Reef (10-423),143.66320801,-10.90422535
U/N Reef (10-424),143.75733948,-10.89969254
U/N Reef (10-425),143.53411865,-10.91361904
U/N Reef (11-034),143.09963989,-11.17448425
Arnold Reef (11-001),142.99273682,-11.00683498
Gilmore Bank (11-004),142.83700562,-11.15866852
U/N Reef (11-005),142.81132507,-11.18551826
U/N Reef (11-006),142.81231689,-11.19433308
U/N Reef (11-007),142.82400513,-11.23168468
U/N Reef (11-008),142.81898499,-11.24888897
Bushy Island Reef (11-009),142.87251282,-11.2572403
Cairncross Islets Reef (11-010),142.92893982,-11.24986839
U/N Reef (11-011a),142.82872009,-11.29018688
U/N Reef (11-011b),142.83093262,-11.29393196
Halfway Islet Reef (11-013),142.96537781,-11.3848238
Pearn Reef (11-014),142.93530273,-11.43494606
McSweeney Reef (11-016),143.24269104,-11.02305126
U/N Reef (11-017),143.33352661,-11.02789688
U/N Reef (11-018),143.35643005,-11.0323143
U/N Reef (11-019),143.47373962,-11.02850151
U/N Reef (11-020),143.3795166,-11.03877735
U/N Reef (11-021),143.37095642,-11.05878925
U/N Reef (11-022),143.46763611,-11.04762936
U/N Reef (11-023),143.40223694,-11.07457256
U/N Reef (11-024),143.31980896,-11.07910061
U/N Reef (11-025),143.09083557,-11.06997013
Sinclair Reef (11-026),143.02845764,-11.11662197
U/N Reef (11-027),143.00056458,-11.12924671
U/N Reef (11-028),143.49406433,-11.10666275
Monsoon Reef (11-029),143.25291443,-11.12877846
U/N Reef (11-030),143.44126892,-11.1438036
U/N Reef (11-031),143.22291565,-11.1421051
U/N Reef (11-032),143.42150879,-11.1607399
U/N Reef (11-033a),143.39331055,-11.184021
U/N Reef (11-033b),143.39369202,-11.20446301
Turning Point Patches (No 2) (11-048b),143.54580688,-11.36818123
U/N Reef (11-049),143.33546448,-11.36095428
U/N Reef (11-050),143.16064453,-11.37728596
U/N Reef (11-051),143.07316589,-11.37047768
Cholmondeley Reef (11-052),143.07014465,-11.38962555
Jardine Reef (11-053),143.03533936,-11.38516045
U/N Reef (11-054),143.16517639,-11.43404198
Wallace Islet Reef (11-055),143.04203796,-11.45389843
Milman-Aplin Reef (11-035),143.03083801,-11.18211842
Parsons Reef (11-036),143.1975708,-11.18444061
Collette Reef (11-037),143.31806946,-11.21540451
Douglas Islet Reef (11-038),143.00071716,-11.2432394
U/N Reef (11-039),143.25714111,-11.24144936
U/N Reef (11-040),143.14968872,-11.27138233
U/N Reef (11-041a),143.03419495,-11.28863144
U/N Reef (11-041b),143.04618835,-11.28736115
U/N Reef (11-042),143.1962738,-11.29498386
Onslow Reef (11-043),143.28129578,-11.29741383
Wilds Shoal (11-044),143.36935425,-11.27690411
U/N Reef (11-045),143.48519897,-11.27064514
U/N Reef (11-046),143.126297,-11.31913948
U/N Reef (11-047),143.1277771,-11.34162426
Turning Point Patches (No 1) (11-048a),143.40556335,-11.32917881
U/N Reef (11-071),143.54277039,-11.25432873
U/N Reef (11-072),143.9954834,-11.28264427
U/N Reef (11-073),144.00578308,-11.28243065
U/N Reef (11-074),143.99632263,-11.29488564
U/N Reef (11-075),143.97923279,-11.29531193
U/N Reef (11-076),143.98078918,-11.30926514
U/N Reef (11-056a),143.40122986,-11.50461769
U/N Reef (11-056b),143.27011108,-11.46175861
U/N Reef (11-056c),143.30992126,-11.39694595
U/N Reef (11-056d),143.37800598,-11.46033001
Cochin Reef (11-057),143.43885803,-11.4305315
Parkinson Reef (11-058),143.12471008,-11.46813583
Monkman Reef (11-059),143.15672302,-11.4719553
U/N Reef (11-060),143.07514954,-11.48204327
Little Boydong Reef (11-061),143.04064941,-11.48878002
Boydong Island Reef (11-062),143.02876282,-11.4979887
U/N Reef (11-063a),143.49919128,-10.97768879
U/N Reef (11-063b),143.58938599,-11.01596832
U/N Reef (11-064),143.6618042,-11.09492207
U/N Reef (11-065),143.58425903,-11.15118408
U/N Reef (11-066),143.69465637,-11.15713024
U/N Reef (11-067),143.53479004,-11.14823914
U/N Reef (11-068),143.58891296,-11.20730495
U/N Reef (11-069),143.71478271,-11.19242096
Maclennan Reef (No 1) (11-070a),143.79820251,-11.31483746
